date,retweets,source,author,likes
8/13/2020 7:51,0,Twitter for iPad,Jean Gull,0
8/12/2020 15:23,1,Twitter Web App,FactChecker76,1
8/11/2020 18:28,0,Twitter for iPhone,Bjørn Levi Bang,4
8/11/2020 4:44,0,Twitter for iPhone,Bjørn Levi Bang,0
8/8/2020 5:29,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0
8/7/2020 20:46,1,Twitter for iPhone,Bhagyashree भाग्यश्री,2
8/5/2020 19:38,0,IFTTT,Wetter-Center.de,0
7/31/2020 8:19,0,Twitter for iPhone,bronie,0
7/28/2020 10:57,0,Twitter for Android,Mrityunjay jha,1
7/28/2020 6:55,0,Twitter Web App,JokerGermany,0
7/27/2020 8:01,0,Hootsuite Inc.,Symbio Energy,0
7/21/2020 19:56,0,Twitter Web App,Randy Schisler,1
7/21/2020 13:05,0,Twitter Web App,BillsboardsforChange,1
7/20/2020 12:05,0,Twitter Web App,Climate change 2020,1
7/16/2020 17:15,0,Crowdfire App,Supply Chain Revolution,2
7/16/2020 10:04,0,Twitter for iPad,nikkifirewall,0
7/15/2020 20:06,0,Twitter Web App,Paul Acocella,1
7/13/2020 15:30,0,Twitter for Android,Gary F.,1
7/12/2020 15:24,8,Twitter Web App,Caribbean disaster,12
7/12/2020 1:03,0,Twitter for Android,Dr. Subhash Thaledi,7
7/11/2020 5:03,14,Twitter for Android,Matt 🌊,118
7/11/2020 4:38,0,Instagram,Unwired,1
7/1/2020 13:17,0,Twitter for iPhone,Patricia Schouker 💡,1
6/30/2020 23:19,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1
6/30/2020 22:42,1,Twitter for iPad,Elena Sgarbossa MD Ⓥ,1
6/26/2020 17:01,0,Twitter for Android,CricketDiane,0
6/25/2020 18:48,0,Twitter Web App,Sir Charles,0
6/24/2020 16:22,0,Twitter Web App,PAGeologist,0
6/22/2020 11:30,2,Hootsuite Inc.,EHN,0
6/21/2020 3:23,0,MrPyrometer,Ray Peacock (MrPyro),0
6/19/2020 14:25,0,Twitter Web App,Marissa Spraker,0
6/19/2020 7:16,4,TweetDeck,EEB,5
